Bid Number,Source ID,Bid Status,Quantity,Start Date,End Date,Buyer Name,Buyer Ministry,Buyer Organisation,Total Tech Sellers,Qualified Sellers,Disqualified Sellers,Financial L1 Seller,Financial L1 Price
GEM/2026/B/7561832,9353595,Active,78,25-05-2026 10:29:41,15-06-2026 11:00:00,Mundayil Pisharath Vinod,Pmo,Directorate Of Purchase And Stores,1,1,0,"HHV THERMAL TECHNOLOGIES PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA",` 752250.00
GEM/2026/B/7614106,9412222,Active,15,02-06-2026 23:25:48,13-06-2026 09:00:00,Harsh Vardhan,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,0,0,0,N/A,N/A
GEM/2026/B/7553481,9344254,Active,669,18-05-2026 13:35:33,28-05-2026 14:00:00,Yamini Tamrakar,Ministry Of Steel,Bhilai Steel Plant,12,0,0,,
GEM/2026/R/680923,9457031,,786,,,***********,Ministry Of Defence,Indian Army,0,0,0,LAVAKA PRODUCTIONS (MII) Under PMA,` 3913129.00
GEM/2026/B/7681802,9487717,Active,1185,19-06-2026 08:29:01,02-07-2026 12:00:00,Keerthi Coca,Ministry Of Steel,Rashtriya Ispat Nigam Limited,9,0,0,,
GEM/2026/B/7664728,9468674,Active,4,19-06-2026 17:41:08,27-07-2026 21:00:00,Vaibhav Arora,Ministry Of Petroleum And Natural Gas,Iocl- Srpl,0,0,0,N/A,N/A
GEM/2026/B/7687339,9493884,Active,5,22-06-2026 08:55:27,02-07-2026 14:00:00,S Deeptha,Ministry Of Petroleum And Natural Gas,Chennai Petroleum Corporation Limited,1,0,0,,
GEM/2026/B/7674505,9479671,Active,7,17-06-2026 12:08:08,04-07-2026 13:00:00,Sumit Panwar,,N/a,12,0,0,,
GEM/2026/B/7646538,9448332,Active,12,10-06-2026 14:26:36,01-07-2026 14:00:00,Shailesh Prakash Kshirsagar,Ministry Of Chemicals And Fertilizers,Rashtriya Chemicals And Fertilizers Limited (rcf),0,0,0,N/A,N/A
GEM/2026/B/7524626,9312372,Active,47,09-06-2026 17:00:11,01-07-2026 14:00:00,Mundayil Pisharath Vinod,Pmo,Directorate Of Purchase And Stores,0,0,0,N/A,N/A
GEM/2026/B/7553657,9344454,Active,274,18-05-2026 18:32:27,28-05-2026 19:00:00,Yamini Tamrakar,Ministry Of Steel,Bhilai Steel Plant,8,0,0,,
GEM/2026/B/7667011,9471265,Active,45,15-06-2026 17:26:04,08-07-2026 18:00:00,M Coumarane,Ministry Of Coal,Nlc India Limited,2,1,1,JASH ENGINEERING LTD (MII) Under PMA,` 2283300.00
GEM/2026/B/7676651,9482001,Active,1,22-06-2026 14:32:53,14-07-2026 14:00:00,Aalok Aich,Ministry Of Petroleum And Natural Gas,Hindustan Petroleum Corporation Ltd,0,0,0,N/A,N/A
GEM/2026/B/7605570,9402693,Active,1,19-06-2026 09:39:44,17-07-2026 11:00:00,Rama V Prabhu,Pmo,Nuclear Power Corporation Of India Limited,1,0,1,N/A,N/A
GEM/2026/B/7658928,9462004,Active,47,19-06-2026 13:15:34,10-07-2026 15:00:00,Vinay Vanwanshi,Ministry Of Power,Sjvn Limited,1,1,0,INDUSTRIAL SPARES (MII) ( MSE Social Category:General ) Under PMA,` 659196.00
GEM/2026/B/7692034,9499159,Active,11,20-06-2026 17:41:03,06-07-2026 18:00:00,Zubair Saifee,,N/a,14,3,11,ESS ESS TRADERS (MSE) ( MSE Social Category:General ) Under PMA,` 71738.00
GEM/2026/B/7686807,9493304,Active,10,25-06-2026 14:59:35,21-07-2026 11:00:00,Lisa M Lal,Ministry Of Chemicals And Fertilizers,Madras Fertilizers Limited (mfl),0,0,0,N/A,N/A
GEM/2026/B/7687052,9493569,Active,7,25-06-2026 15:01:09,10-07-2026 15:00:00,Lisa M Lal,Ministry Of Chemicals And Fertilizers,Madras Fertilizers Limited (mfl),6,4,2,AIRA EURO AUTOMATION PRIVATE LIMITED Under PMA,` 43533.00
GEM/2026/B/7708478,9517626,Active,64,25-06-2026 00:26:50,11-07-2026 10:00:00,Dileram,,N/a,8,0,0,,
GEM/2026/B/7702284,9510745,Active,24,23-06-2026 17:37:40,11-07-2026 18:00:00,Mukesh Kumar Verma,,N/a,0,0,0,N/A,N/A
GEM/2026/B/7708440,9517581,Active,5,25-06-2026 15:32:51,13-07-2026 15:00:00,Ramya E,Ministry Of Steel,Bhilai Steel Plant,0,0,0,N/A,N/A
GEM/2026/B/7710775,9520188,Active,6,25-06-2026 13:34:31,16-07-2026 18:00:00,***********,Ministry Of Defence,Indian Air Force,4,2,2,MADAN ELETRICALS Under PMA,` 258000.00
GEM/2026/R/704854,9660911,,40,,,Akshaya Kumar Bal,Ministry Of Steel,Rourkela Steel Plant,0,0,0,"MICON VALVES (INDIA) PRIVATE LIMITED (MSE,MII) Under PMA",` 400000.00
GEM/2026/B/7708499,9517650,Active,71,25-06-2026 08:11:37,10-07-2026 09:00:00,Dayaram Kevat,,N/a,5,0,0,,
GEM/2026/B/7716032,9526072,Active,58,26-06-2026 19:39:46,11-07-2026 20:00:00,Mohit Kumar,,N/a,0,0,0,N/A,N/A
GEM/2026/B/7507652,9293538,Active,14,06-05-2026 11:46:19,29-05-2026 11:00:00,Shivam Soni,Ministry Of Power,Bokaro Power Supply Company Private Limited,0,0,0,N/A,N/A
GEM/2026/B/7712921,9522581,Active,345,25-06-2026 18:37:58,16-07-2026 17:00:00,Sumithra P,Ministry Of Petroleum And Natural Gas,Numaligarh Refinery Limited,0,0,0,N/A,N/A
