Bid Number,Source ID,Bid Status,Quantity,Start Date,End Date,Buyer Name,Buyer Ministry,Buyer Organisation,Total Tech Sellers,Qualified Sellers,Disqualified Sellers,Financial L1 Seller,Financial L1 Price
GEM/2024/B/4816728,6262698,Active,6,08-04-2024 12:51:53,29-04-2024 13:00:00,Md Akhtar,Ministry Of Power,Ntpc Tamilnadu Energy Company Ltd,15,15,0,"G.M. DALUI & SONS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA",` 1906679.40
GEM/2024/B/5032574,6500135,Active,50,10-06-2024 17:45:38,01-07-2024 18:00:00,Samrath Patidar,Ministry Of Petroleum And Natural Gas,Oil And Natural Gas Corporation Limited,12,3,9,M/S VIKRAM INTERNATIONAL Under PMA,` 181654.00
GEM/2023/B/4275540,5669610,Active,,02-01-2024 10:02:29,23-01-2024 18:00:00,Shraddha Munjewar,Ministry Of Power,Power Grid Corporation Of India Limited,4,3,1,A TO Z VALVES MFG. CO. ( MSE Social Category:General ) Under PMA,` 411339.00
GEM/2024/B/4879419,6332092,Active,18,13-05-2024 14:50:12,28-05-2024 11:00:00,Kiran,Ministry Of Power,Power Grid Corporation Of India Limited,4,4,0,J K SANITATIONS & TOOLS Under PMA,` 282411.00
GEM/2024/B/5014859,6480652,Active,140,06-06-2024 15:47:57,27-06-2024 15:00:00,Pasagada Somasekhara Prasad,Ministry Of Steel,Rashtriya Ispat Nigam Limited,35,0,0,,
GEM/2024/B/5122348,6598560,Active,50,04-07-2024 16:27:33,25-07-2024 17:00:00,Sundaram S K,Ministry Of Coal,Mahanadi Coalfields Limited,7,0,0,,
GEM/2024/B/4898498,6353112,Active,305,29-04-2024 18:51:00,27-05-2024 09:00:00,Abhinav Anil Rajedhar,Ministry Of Coal,South Eastern Coalfields Limited,8,0,0,,
GEM/2024/B/4979769,6442066,Active,126,25-05-2024 16:36:04,20-06-2024 17:00:00,Aditya Dinkar Pawar,Ministry Of Coal,South Eastern Coalfields Limited,4,0,0,,
GEM/2024/B/4595710,6018861,Active,6,09-02-2024 16:27:52,19-02-2024 17:00:00,Udham Singh,,N/a,5,3,2,A.M. ENTERPRISES Under PMA,` 957000.00
GEM/2024/B/4599894,6023369,Active,73,08-02-2024 11:53:14,19-02-2024 12:00:00,Moolchandra Singh,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,9,3,6,S M ENTERPRISES Under PMA,` 3426000.00
GEM/2024/B/4720093,6155294,Active,3,01-03-2024 17:39:14,12-03-2024 10:00:00,Kamakhya Prasad Anand,,N/a,0,0,0,N/A,N/A
GEM/2024/B/4965952,6426939,Active,33,27-05-2024 17:14:42,10-06-2024 11:00:00,Mandar Ramesh Patil,Ministry Of Coal,Western Coalfields Limited,5,0,0,,
GEM/2024/B/4845550,6294788,Active,20,08-04-2024 13:59:50,25-04-2024 16:00:00,Swapnil Shankar Mangare,Ministry Of Coal,Western Coalfields Ltd,3,0,0,,
GEM/2024/R/374062,6813391,,158,,,Mohammed Raziq Khan,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2024/B/5151138,6630420,Active,60,15-07-2024 16:27:29,05-08-2024 15:00:00,Pattela Sai Nikhil,Ministry Of Petroleum And Natural Gas,Gail India Limited,16,0,0,,
GEM/2024/B/5157917,6637909,Active,173,15-07-2024 18:09:33,02-08-2024 15:00:00,Satish Kumar Sharma,Ministry Of Power,Ntpc Limited,9,0,0,,
GEM/2024/B/5159432,6639548,Active,36,13-07-2024 17:12:02,10-08-2024 15:00:00,Dushyant Kumar,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2024/B/5157062,6636990,Active,147,13-07-2024 15:53:51,23-07-2024 18:00:00,Ayushi Chandel,Ministry Of Steel,Nmdc Steel Limited,7,0,0,,
GEM/2024/B/5175068,6656645,Active,11,24-07-2024 08:32:33,14-08-2024 14:00:00,Supriya Rajesh Bobate,Pmo,Directorate Of Purchase And Stores,26,0,0,,
GEM/2024/B/5161430,6641645,Active,1,17-07-2024 18:23:38,07-08-2024 14:00:00,Supriya Rajesh Bobate,Pmo,Directorate Of Purchase And Stores,3,3,0,"POTENTIAL ENGINEERING (MSE,MII) ( MSE Social Category:General ) Under PMA",` 637200.00
GEM/2024/R/387075,6939091,,1,,,Pralay Shankar Mohanty,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,"FLUID VALVE MANUFACTURING COMPANY (MSE,MII) Under PMA",` 173000.00
GEM/2024/B/5229474,6716432,Active,47,31-07-2024 11:22:47,21-08-2024 12:00:00,Baidyanath Sahoo,Ministry Of Coal,Mahanadi Coalfields Limited,6,0,0,,
GEM/2024/R/369167,6762623,,34,,,***********,Ministry Of Defence,Indian Army,0,0,0,RBS TRADING (MII) Under PMA,` 1361357.12
GEM/2024/R/381387,6882698,,100,,,Bathina Dinakar Raja,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,PARIN VALVES PRIVATE LIMITED (MSE) Under PMA,` 80000.00
GEM/2024/B/5246742,6735295,Active,10,03-08-2024 16:12:32,21-08-2024 15:00:00,Sheffy Chhabra,Ministry Of Petroleum And Natural Gas,Hindustan Petroleum Corporation Ltd,12,11,1,WELL CAST INDUSTRIES (MSE) ( MSE Social Category:General ) Under PMA,` 58764.00
GEM/2024/B/5246076,6734545,Active,17,05-08-2024 10:29:54,27-08-2024 11:00:00,Pasagada Somasekhara Prasad,Ministry Of Steel,Rashtriya Ispat Nigam Limited,20,0,0,,
GEM/2024/B/5233171,6720417,Active,8,07-08-2024 15:19:22,07-09-2024 15:00:00,Subhash Singh,Ministry Of Power,Nhpc Limited,14,0,0,,
GEM/2024/B/5270947,6761811,Active,1,09-08-2024 11:43:59,19-08-2024 13:00:00,Mohammed Raziq Khan,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),11,2,9,LEADER VALVES LTD (MII) Under PMA,` 315359.00
GEM/2024/B/5289187,6781940,Active,70,14-08-2024 17:30:19,26-08-2024 14:00:00,Saurabh Pathak,Ministry Of Petroleum And Natural Gas,Indian Oil Corporation Limited,18,0,0,,
GEM/2024/R/404987,7105877,,8,,,Sujatha V K,Pmo,Directorate Of Purchase And Stores,0,0,0,VALVEQUIP ENGENEERING CORPORATION (MSE) Under PMA,` 127440.00
GEM/2024/B/5304795,6799297,Active,30,22-08-2024 17:23:14,16-09-2024 10:00:00,Piyush Kumar Srivastava,Ministry Of Power,Damodar Valley Corporation,11,0,0,,
GEM/2024/R/403748,7094745,,27,,,Tanmay Dave,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2024/R/399545,7055857,,1,,,Pralay Shankar Mohanty,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,VALVE TECH INDUSTRIES (MII) Under PMA,` 309000.00
GEM/2024/B/5373828,6876132,Active,209,08-09-2024 16:24:50,18-09-2024 17:00:00,Munshi Singh,,E-nagar Palika Government Of Madhya Pradesh,6,4,2,GRANTH ENTERPRISES Under PMA,` 1962500.00
GEM/2024/B/5369093,6870927,Active,65,06-09-2024 12:16:44,16-09-2024 13:00:00,Aniket Wadnerkar,Ministry Of Steel,Bhilai Steel Plant,7,5,2,CRAWLEY & RAY (FOUNDERS & ENGINEERS) PVT LTD ( MSE Social Category:General ) Under PMA,` 377016.75
GEM/2024/B/5346045,6845116,Active,20,03-09-2024 18:02:54,25-11-2024 11:00:00,Sonudeep,Ministry Of Power,Power Grid Corporation Of India Limited,3,2,1,M/S CHANDEL ASSOCIATES Under PMA,` 306693.00
GEM/2024/B/5375665,6878256,Active,2,11-09-2024 15:49:56,03-10-2024 16:00:00,Vijya Prasad,Ministry Of Power,Bokaro Power Supply Company Private Limited,11,1,10,N/A,N/A
GEM/2024/B/5403265,6909079,Active,2,16-09-2024 11:11:29,26-09-2024 12:00:00,Namasri Banerjee,Ministry Of Steel,Iisco Steel Plant,22,9,13,AQUA ENGINEERING (MSE) ( MSE Social Category:General ) Under PMA,` 168271.19
GEM/2024/B/5370906,6872908,Active,4,12-09-2024 17:09:43,03-10-2024 14:00:00,Hemant Kishan Munde,Ministry Of Chemicals And Fertilizers,Rashtriya Chemicals And Fertilizers Limited (rcf),14,1,13,"AEGIS VALVES INDUSTRIES PRIVATE LIMITED (MSE,MII) ( MSE Social Category:OBC ) Under PMA",` 1722800.00
GEM/2024/B/5362444,6863564,Active,30,13-09-2024 10:32:56,05-10-2024 09:00:00,Rahul Kumar Thakur,Ministry Of Mines,"National Aluminium Company Limited, Bhubaneswar",4,0,0,,
GEM/2024/B/5401637,6907230,Active,14,14-09-2024 17:11:25,24-09-2024 18:00:00,***********,Ministry Of Defence,Bharat Earth Movers Limited (beml),0,0,0,N/A,N/A
GEM/2024/B/5400468,6905896,Active,30,14-09-2024 17:00:40,08-10-2024 15:00:00,Monjit Doley,Ministry Of Petroleum And Natural Gas,Gail India Limited,18,0,0,,
GEM/2024/B/5538173,7059884,Active,154,29-10-2024 10:44:44,26-11-2024 11:00:00,Mehebub Alam,Ministry Of Power,Damodar Valley Corporation,32,0,0,,
GEM/2024/B/5619843,7152025,Active,80,19-11-2024 16:15:01,10-12-2024 16:00:00,Debajit Chakraborty,Ministry Of Petroleum And Natural Gas,Oil And Natural Gas Corporation Limited,2,2,0,S K ENTERPRISE Under PMA,` 312032.00
GEM/2024/B/5624801,7157551,Active,23,19-11-2024 17:06:02,09-12-2024 14:00:00,Mohit Gupta,Ministry Of Chemicals And Fertilizers,National Fertilizers Limited (nfl),0,0,0,N/A,N/A
GEM/2024/B/5624554,7157283,Active,1,19-11-2024 16:38:00,18-12-2024 13:00:00,Aniket Wadnerkar,Ministry Of Steel,Bhilai Steel Plant,10,5,5,METROPOLITAN INDUSTRIES ( MSE Social Category:General ) Under PMA,` 149101.00
GEM/2025/R/484572,7807525,,16,,,***********,Ministry Of Defence,Indian Navy,0,0,0,N/A,N/A
GEM/2024/B/5658377,7194788,Active,49,27-11-2024 16:47:59,10-12-2024 17:00:00,Vivek Barik,Ministry Of Steel,Durgapur Steel Plant,15,0,0,,
GEM/2024/B/5633390,7167114,Active,3,25-11-2024 13:13:26,10-12-2024 14:00:00,Karuna Kant Pandey,,N/a,7,3,4,PARAZ ENTERPRISES Under PMA,` 99300.00
GEM/2024/B/5669357,7207494,Active,85,06-12-2024 17:05:39,27-12-2024 15:00:00,Nand Lal Chayal,Ministry Of Petroleum And Natural Gas,Oil And Natural Gas Corporation Limited,13,5,8,PAREKH ENGINEERING COMPANY Under PMA,` 280051.00
GEM/2024/B/5666781,7204587,Active,64,06-12-2024 09:00:27,16-12-2024 09:00:00,Anish Kumar Srivastava,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),12,1,11,A V VALVES LTD (MSE) ( MSE Social Category:General ) Under PMA,` 111728.81
GEM/2024/B/5656255,7192510,Active,14,28-11-2024 14:45:18,19-12-2024 15:00:00,Amit Kumar Jaiswal,Ministry Of Coal,South Eastern Coalfields Limited,3,0,0,,
GEM/2024/B/5665338,7202986,Active,290,05-12-2024 16:56:25,26-12-2024 17:00:00,Bandana Chakrabarty,,N/a,6,0,0,,
GEM/2024/B/5671218,7209500,Active,185,06-12-2024 16:50:23,09-01-2025 15:00:00,Awadhesh Lal Gupta,Ministry Of Mines,"National Aluminium Company Limited, Bhubaneswar",13,0,0,,
GEM/2024/B/5673347,7211774,Active,132,07-12-2024 09:52:03,06-01-2025 19:00:00,Utpal Saha,Ministry Of Heavy Industries And Public Enterprises,Bridge And Roof Company (india) Limited,4,2,2,FLUID CONTROLS LTD (MII) Under PMA,` 2603256.00
GEM/2024/B/5764896,7314617,Active,18,31-12-2024 09:57:36,20-01-2025 16:00:00,Rajesh Kumar Ojha,Ministry Of Petroleum And Natural Gas,Oil And Natural Gas Corporation Limited,4,4,0,OSKAR INDUSTRIES (MSE) ( MSE Social Category:General ) Under PMA,` 32684.00
GEM/2025/B/5790369,7343560,Active,3,07-01-2025 12:46:28,24-01-2025 17:00:00,Makwana Kishan Arajanbhai,Ministry Of Petroleum And Natural Gas,Indian Oil Corporation Limited,21,18,3,"OCEAN VALVES MFG. CO (MSE,MII) ( MSE Social Category:General ) Under PMA",` 397086.00
GEM/2025/B/5837990,7396741,Active,150,18-01-2025 15:54:33,28-01-2025 16:00:00,***********,Ministry Of Defence,Munitions India Limited,4,0,0,,
GEM/2025/R/482232,7782608,,98,,,Monika Padhi,Ministry Of Steel,Nmdc Steel Limited,0,0,0,"MALEK ENGINEERING WORKS (MSE,MII) Under PMA",` 489020.00
GEM/2025/B/5786435,7339023,Active,95,09-01-2025 15:34:26,20-02-2025 17:00:00,Sudhir Kumar,Ministry Of Power,Damodar Valley Corporation,25,0,0,,
GEM/2025/B/5800219,7354607,Active,7,09-01-2025 16:40:01,23-01-2025 15:00:00,Makwana Kishan Arajanbhai,Ministry Of Petroleum And Natural Gas,Indian Oil Corporation Limited,14,0,0,,
GEM/2025/B/5807573,7362711,Active,8,10-01-2025 17:52:03,07-02-2025 15:00:00,Shashank Shekhar,Ministry Of Petroleum And Natural Gas,Indian Oil Corporation Limited,6,0,0,,
GEM/2025/B/5804891,7359778,Active,10,10-01-2025 17:52:03,31-01-2025 15:00:00,Yasobanta Rout,Ministry Of Mines,Hindustan Copper Limited,17,9,8,"G.M. DALUI & SONS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA",` 53812.72
GEM/2025/R/448296,7500234,,37,,,***********,Ministry Of Defence,Indian Army,0,0,0,S.A.A. TRADERS (MII) Under PMA,` 341430.00
GEM/2025/B/5817306,7373762,Active,77,15-01-2025 16:03:35,25-01-2025 17:00:00,Moolchandra Singh,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,9,3,6,AANYA ELECTRICAL PRIVATE LIMITED Under PMA,` 3792500.00
GEM/2025/R/464173,7629279,,8,,,Neeraj Kumar,Ministry Of Power,Damodar Valley Corporation,0,0,0,"FLUID VALVE MANUFACTURING COMPANY (MSE,MII) Under PMA",` 1136000.00
GEM/2025/B/5820906,7377725,Active,222,15-01-2025 10:56:46,05-02-2025 09:00:00,Krishna Namdev Phad,Ministry Of Mines,"National Aluminium Company Limited, Bhubaneswar",11,0,0,,
GEM/2025/B/5908185,7475485,Active,70,04-02-2025 16:15:21,03-03-2025 15:00:00,***********,Ministry Of Defence,Goa Shipyard Limited,10,0,0,,
GEM/2025/B/5891270,7456342,Active,8,04-02-2025 16:44:51,14-02-2025 17:00:00,Surendar Kumar Sharma,,Nagar Palika Parishad Shahganj Jaunpur,10,3,7,UTKARSH ENTERPRISES Under PMA,` 438400.00
GEM/2025/R/473615,7695657,,4,,,Rahul Roy,Ministry Of Steel,Iisco Steel Plant,0,0,0,"SUDIP ENGINEERING (MSE,MII) Under PMA",` 777966.10
GEM/2025/R/473101,7691934,,4,,,Sibnath Bera,Ministry Of Steel,Rourkela Steel Plant,0,0,0,"H R VALVE (MSE,MII) Under PMA",` 384745.76
GEM/2025/B/5932842,7503262,Active,48,15-02-2025 11:51:04,08-03-2025 12:00:00,Ashok Kumar Prasad,Ministry Of Power,Nhpc Limited,12,3,9,"NUPRO ENGINEERING SYNDICATE PVT LTD (MSE,MII) ( MSE Social Category:General ) Under PMA",` 420264.00
GEM/2025/B/6153137,7754102,Active,64,26-04-2025 19:01:42,06-05-2025 20:00:00,Mandar Ramesh Patil,Ministry Of Coal,Western Coalfields Limited,10,0,0,,
GEM/2025/B/6108006,7704299,Active,172,16-04-2025 13:29:01,07-05-2025 11:00:00,Rajendra Narayana Patel,Ministry Of Coal,Mahanadi Coalfields Limited,5,0,0,,
GEM/2025/B/6173241,7776397,Active,2,28-04-2025 14:01:50,08-05-2025 15:00:00,Shubham Kumar Deshmukh,Ministry Of Steel,Bhilai Steel Plant,6,3,3,VALVE TECH INDUSTRIES ( MSE Social Category:General ) Under PMA,` 270000.00
GEM/2025/B/6139411,7738912,Active,17,21-04-2025 16:55:55,12-05-2025 17:00:00,Saurabh Kumar,Ministry Of Mines,"National Aluminium Company Limited, Bhubaneswar",39,0,0,,
GEM/2025/B/6118810,7716239,Active,22,24-04-2025 15:33:04,17-05-2025 11:00:00,Videha Avadhoot Pathre,Pmo,Nuclear Power Corporation Of India Limited,16,7,9,"QUALITY VALVE CO (MSE,MII) ( MSE Social Category:General ) Under PMA",` 931964.00
GEM/2025/B/6174028,7777285,Active,10,26-04-2025 12:05:34,17-05-2025 13:00:00,Mananjay Kumar,Ministry Of Power,Ntpc Limited,29,28,1,YAMAC VALVES (MSE) ( MSE Social Category:General ) Under PMA,` 129446.00
GEM/2025/B/6218201,7826053,Active,55,09-05-2025 19:11:02,23-05-2025 14:00:00,Shubham Kumar Deshmukh,Ministry Of Steel,Bhilai Steel Plant,10,7,3,CRAWLEY & RAY (FOUNDERS & ENGINEERS) PVT LTD ( MSE Social Category:General ) Under PMA,` 283788.14
GEM/2025/R/528294,8206760,,34,,,Ashish Gupta,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,"ARH FLOW CONTROLS (MSE,MII) Under PMA",` 43177.12
GEM/2025/B/6245536,7856380,Active,20,19-05-2025 10:50:11,29-05-2025 15:00:00,Shubham Kumar Deshmukh,Ministry Of Steel,Bhilai Steel Plant,8,5,3,S & M INDUSTRIAL VALVES LIMITED ( MSE Social Category:General ) Under PMA,` 119796.61
GEM/2025/B/6254900,7866861,Active,24,20-05-2025 18:06:18,05-06-2025 09:00:00,Shubham Kumar Deshmukh,Ministry Of Steel,Bhilai Steel Plant,16,0,0,,
GEM/2025/B/6114534,7711384,Active,138,04-04-2025 18:35:51,14-04-2025 19:00:00,Yamini Tamrakar,Ministry Of Steel,Bhilai Steel Plant,13,0,0,,
GEM/2025/B/6029007,7612404,Active,90,29-03-2025 16:05:06,15-04-2025 11:00:00,Finny John,Pmo,Nuclear Power Corporation Of India Limited,3,0,0,,
GEM/2025/B/6084162,7676993,Active,24,25-03-2025 17:30:52,15-04-2025 20:00:00,Pradeep Kumar.n,Ministry Of Coal,Mahanadi Coalfields Limited,13,0,0,,
GEM/2025/B/6095515,7690059,Active,3,01-04-2025 11:37:39,22-04-2025 10:00:00,Sweta Kumari Sinha,Pmo,Irel (india) Limited,18,3,15,AIRA EURO AUTOMATION PRIVATE LIMITED Under PMA,` 475752.00
GEM/2025/B/6151449,7752184,Active,14,19-04-2025 11:47:19,29-04-2025 14:00:00,Srinivasa Rao Muppuri,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),8,8,0,"OMVAL CONTROLS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA",` 18669.49
GEM/2025/B/6436724,8070955,Active,134,15-07-2025 18:49:09,05-08-2025 19:00:00,Vivek Saraswat,Ministry Of Coal,South Eastern Coalfields Limited,13,0,0,,
GEM/2025/B/6197391,7803156,Active,396,12-05-2025 11:21:35,02-06-2025 10:00:00,Amit Kumar Giri,Ministry Of Coal,Northern Coalfields Limited,4,0,0,,
GEM/2025/B/6282419,7897416,Active,6,28-05-2025 19:49:06,14-06-2025 10:00:00,Kuldeep Kumar Tamar,,N/a,10,4,6,M/S BHAGWATI TRADERS Under PMA,` 402900.00
GEM/2025/B/6244640,7855373,Active,14,31-05-2025 13:07:27,10-06-2025 14:00:00,Sukrat Sharan,,N/a,8,3,5,KANHA ENTERPRISES Under PMA,` 872383.00
GEM/2025/B/6277197,7891707,Active,16,27-05-2025 09:53:36,17-06-2025 10:00:00,Mausoom Choudhury,Ministry Of Petroleum And Natural Gas,Brahmaputra Cracker And Polymer Limited,4,2,2,DELVAL FLOW CONTROLS PRIVATE LIMITED Under PMA,` 347246.00
GEM/2025/B/6311863,7930310,Active,180,05-06-2025 16:17:50,26-06-2025 13:00:00,Adarsh Ranjan Padhy,Ministry Of Petroleum And Natural Gas,Oil India Limited,18,0,0,,
GEM/2025/B/6372892,7998864,Active,4,23-06-2025 11:11:04,03-07-2025 12:00:00,Sumanto Mukherjee,Ministry Of Steel,Iisco Steel Plant,17,0,0,,
GEM/2025/R/580208,8625727,,280,,,Vivek Kumar Sahu,Ministry Of Mines,"National Aluminium Company Limited, Bhubaneswar",0,0,0,"GETWAY VALVES PRIVATE LIMITED (MSE,MII) Under PMA",` 1172000.00
GEM/2025/B/6429382,8062825,Active,12,08-07-2025 16:45:37,18-07-2025 17:00:00,Mahesh Chandra,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,5,5,0,POLINE TECHNOLOGIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,` 70140.00
GEM/2024/B/5571913,7097854,Active,328,08-11-2024 09:24:34,16-12-2024 18:00:00,Mahendra Singh,Ministry Of Steel,Bokaro Steel Plant,25,0,0,,
GEM/2025/B/5984327,7561225,Active,100,26-02-2025 18:17:02,10-03-2025 11:00:00,Abhishek Singh,Ministry Of Coal,Northern Coalfields Limited,3,0,0,,
GEM/2025/B/5981630,7558211,Active,124,25-02-2025 19:59:32,18-03-2025 11:00:00,R Vijay Krishnan,Ministry Of Coal,Mahanadi Coalfields Limited,6,0,0,,
GEM/2025/B/6548859,8197727,Active,12,07-08-2025 20:11:41,18-08-2025 14:00:00,S Leela Shankar Meena,Pmo,Directorate Of Purchase And Stores,8,7,1,GETWAY VALVES PRIVATE LIMITED (MII) Under PMA,` 408864.00
GEM/2024/B/5588518,7116466,Active,1,08-11-2024 15:54:32,23-11-2024 16:00:00,Hirenbhai Arvindbhai Patel,,Directorate Of Employment & Training,7,7,0,G.M. DALUI & SONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,` 8420.48
GEM/2024/B/5055825,6525408,Active,58,22-06-2024 18:15:14,03-07-2024 12:00:00,Bhavesh Silawat,Ministry Of Coal,South Eastern Coalfields Limited,8,0,0,,
GEM/2024/B/5443022,6953314,Active,3,26-09-2024 13:13:42,14-10-2024 13:00:00,Aniket Wadnerkar,Ministry Of Steel,Bhilai Steel Plant,4,3,1,G.M. DALUI & SONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,` 198788.70
GEM/2024/B/5349255,6848866,Active,52,02-09-2024 09:57:51,12-09-2024 13:00:00,Yamini Tamrakar,Ministry Of Steel,Bhilai Steel Plant,8,0,0,,
GEM/2025/R/537911,8284690,,50,,,Chiragkumar Parekh,,N/a,0,0,0,H R Enterprise Under PMA,` 549800.00
GEM/2025/B/6545840,8194381,Active,205,09-08-2025 10:25:27,27-09-2025 16:00:00,Mayank Tiwari,Ministry Of Steel,Nmdc Limited,36,0,0,,
GEM/2025/B/6621230,8280253,Active,126,28-08-2025 18:46:19,08-09-2025 19:00:00,***********,Ministry Of Defence,Indian Army,6,0,0,,
GEM/2025/B/6692136,8360939,Active,229,19-09-2025 19:13:45,07-10-2025 19:00:00,Rishabh Maheshwari,Ministry Of Steel,Bokaro Steel Plant,39,0,0,,
GEM/2025/B/6771136,8451399,Active,381,10-10-2025 16:46:08,28-10-2025 11:00:00,Raakhul N C,Ministry Of Coal,Bharat Coking Coal Limited,6,0,0,,
GEM/2025/B/6747764,8424454,Active,23,09-10-2025 10:52:45,24-10-2025 11:00:00,Raj Kumar Yadav,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,14,3,11,liipix technology Under PMA,` 772766.00
GEM/2025/B/6776738,8457762,Active,101,13-10-2025 14:30:30,27-10-2025 11:00:00,Abirbira Samal,Ministry Of Coal,Eastern Coalfields Limited,6,0,0,,
GEM/2025/B/6823023,8510437,Active,38,25-10-2025 10:23:23,06-11-2025 11:00:00,Deepak Kumar Behera,Ministry Of Steel,Rourkela Steel Plant,12,3,9,KUNJAV MACHINERY & MFG CO (MII) Under PMA,` 938622.03
GEM/2025/B/6741193,8416956,Active,46,26-10-2025 14:20:44,17-11-2025 15:00:00,N.a. Suresh,Ministry Of Coal,Nlc Tamil Nadu Power Limited,22,22,0,SAMRAT ENGINEERING (MSE) ( MSE Social Category:General ) Under PMA,` 120652.64
GEM/2025/B/6835904,8525295,Active,5,07-11-2025 13:04:07,17-11-2025 14:00:00,Mahendra Kumar,,E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh,8,3,5,AVNI TRADERS Under PMA,` 173500.00
GEM/2025/B/6874050,8569241,Active,740,11-11-2025 14:25:01,05-12-2025 17:00:00,Raj Rishabh Sinku,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),25,0,0,,
GEM/2025/B/6876977,8572586,Active,30,12-11-2025 13:26:33,27-11-2025 14:00:00,Amit Kumar Jaiswal,Ministry Of Coal,South Eastern Coalfields Limited,5,0,0,,
GEM/2025/B/6936608,8640355,Active,25,26-11-2025 20:45:14,06-12-2025 21:00:00,Manoj Kumar,,E-nagar Palika Government Of Madhya Pradesh,4,4,0,SHRI SAI TRADERS ( MSE Social Category:General ) Under PMA,` 498485.00
GEM/2025/B/6863694,8557312,Active,4,15-11-2025 15:56:42,22-12-2025 11:00:00,Arvind Shivaji Lakade,Pmo,Nuclear Power Corporation Of India Limited,3,1,2,FAIRTECH ENGINEERS INDIA PRIVATE LIMITED Under PMA,` 279922.00
GEM/2025/B/6968298,8676367,Active,73,16-12-2025 14:23:57,06-01-2026 17:00:00,Umesh Lahanu Chaudhari,Ministry Of Petroleum And Natural Gas,Oil And Natural Gas Corporation Limited,24,7,17,PHIXER VALVES (MSE) ( MSE Social Category:General ) Under PMA,` 122859.00
GEM/2026/B/7129160,8860951,Active,40,20-01-2026 17:30:00,31-01-2026 15:00:00,Anuj Agarwal,,N/a,7,0,0,,
GEM/2025/B/6946447,8651464,Active,184,13-01-2026 12:04:57,10-02-2026 14:00:00,Bhavesh Silawat,Ministry Of Coal,South Eastern Coalfields Limited,4,0,0,,
GEM/2026/B/7065783,8788226,Active,83,08-01-2026 10:30:21,05-02-2026 11:00:00,Keerthi Coca,Ministry Of Steel,Rashtriya Ispat Nigam Limited,21,0,0,,
GEM/2026/B/7155121,8890528,Active,18,27-01-2026 16:39:08,11-02-2026 09:00:00,Sumit Das Sarkar,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),11,0,0,,
GEM/2026/B/7571865,9364777,Active,109,22-05-2026 10:42:44,01-06-2026 11:00:00,Sumanto Mukherjee,Ministry Of Steel,Iisco Steel Plant,33,0,0,,
GEM/2026/B/7546169,9336009,Active,48,22-05-2026 10:16:53,01-06-2026 11:00:00,Laxmi Kumari Meena,Ministry Of Power,Aravali Power Company Private Limited,6,0,0,,
GEM/2026/R/677550,9424221,,80,,,***********,Ministry Of Defence,Bharat Electronics Limited (bel),0,0,0,N/A,N/A
GEM/2026/B/7494635,9278923,Active,32,18-05-2026 13:11:38,02-06-2026 14:00:00,Ajay Pratap Singh,,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (uprvunl) Lucknow,1,1,0,SHREE GAJANAND POWER SYSTEMS ( MSE Social Category:General ) Under PMA,` 1056744.94
GEM/2026/B/7437827,9215677,Active,110,27-04-2026 16:00:00,02-06-2026 11:00:00,Abhijeet Prabhakar Tambe,Pmo,Nuclear Power Corporation Of India Limited,4,2,2,"PERITUS CONTROL EQUIPMENTS PRIVATE LIMITED (MSE,MII) ( MSE Social Category:General ) Under PMA",` 13684996.80
